bairro,microrregiao
Recife,1.1
Boa Vista,1.2
Coelhos,1.3
Arruda,2.1
Água Fria,2.2
Beberibe,2.3
Aflitos,3.1
Alto José Bonifácio,3.2
Brejo da Guabiraba,3.3
Cordeiro,4.1
Engenho do Meio,4.2
Caxangá,4.3
Afogados,5.1
Areias,5.2
Barro,5.3
Boa Viagem,6.1
Ibura,6.2
Cohab,6.3
Santo Amaro,1.1
Cabanga,1.2
Ilha Joana Bezerra,1.3
Campina do Barreto,2.1
Alto Santa Teresinha,2.2
Dois Unidos,2.3
Alto do Mandu,3.1
Alto José do Pinho,3.2
Brejo de Beberibe,3.3
Ilha do Retiro,4.1
Torrões,4.2
Cidade Universitária,4.3
Bongi,5.1
Caçote,5.2
Coqueiral,5.3
Brasília Teimosa,6.1
Jordão,6.2
Ilha do Leite,1.2
Campo Grande,2.1
Bomba do Hemetério,2.2
Linha do Tiro,2.3
Apipucos,3.1
Mangabeira,3.2
Córrego do Jenipapo,3.3
Iputinga,4.1
Várzea,4.3
Mangueira,5.1
Estância,5.2
Curado,5.3
Imbiribeira,6.1
Paissandu,1.2
Encruzilhada,2.1
Cajueiro,2.2
Casa Amarela,3.1
Morro da Conceição,3.2
Guabiraba,3.3
Madalena,4.1
Mustardinha,5.1
Jiquiá,5.2
Jardim São Paulo,5.3
Ipsep,6.1
Santo Antônio,1.2
Hipódromo,2.1
Fundão,2.2
Casa Forte,3.1
Vasco da Gama,3.2
Macaxeira,3.3
Prado,4.1
San Martin,5.1
Sancho,5.3
Pina,6.1
São José,1.2
Peixinhos,2.1
Porto da Madeira,2.2
Derby,3.1
Nova Descoberta,3.3
Torre,4.1
Tejipió,5.3
Soledade,1.2
Ponto de Parada,2.1
Beberibe,2.2
Dois Irmãos,3.1
Passarinho,3.3
Zumbi,4.1
Totó,5.3
Rosarinho,2.1
Dois Unidos,2.2
Espinheiro,3.1
Pau-Ferro,3.3
Torreão,2.1
Linha do Tiro,2.2
Graças,3.1
Jaqueira,3.1
Monteiro,3.1
Parnamirim,3.1
Poço,3.1
Santana,3.1
Sítio dos Pintos,3.1
Tamarineira,3.1
